GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AGU001
GIS Join Match Code,Data File Year,State Name,State Code,County Name,County Code,Area name,Total
"G0100010","1860","Alabama","010","Autauga","0010","Autauga",9607
"G0100030","1860","Alabama","010","Baldwin","0030","Baldwin",3714
"G0100050","1860","Alabama","010","Barbour","0050","Barbour",16150
"G0100070","1860","Alabama","010","Bibb","0070","Bibb",3842
"G0100090","1860","Alabama","010","Blount","0090","Blount",666
"G0100130","1860","Alabama","010","Butler","0130","Butler",6818
"G0100150","1860","Alabama","010","Calhoun","0150","Calhoun",4342
"G0100170","1860","Alabama","010","Chambers","0170","Chambers",11849
"G0100190","1860","Alabama","010","Cherokee","0190","Cherokee",3002
"G0100230","1860","Alabama","010","Choctaw","0230","Choctaw",7094
"G0100250","1860","Alabama","010","Clarke","0250","Clarke",7436
"G0100310","1860","Alabama","010","Coffee","0310","Coffee",1417
"G0100350","1860","Alabama","010","Conecuh","0350","Conecuh",4882
"G0100370","1860","Alabama","010","Coosa","0370","Coosa",5212
"G0100390","1860","Alabama","010","Covington","0390","Covington",821
"G0100450","1860","Alabama","010","Dale","0450","Dale",1809
"G0100470","1860","Alabama","010","Dallas","0470","Dallas",25760
"G0100490","1860","Alabama","010","DeKalb","0490","Dekalb",848
"G0100570","1860","Alabama","010","Fayette","0570","Fayette",1703
"G0100590","1860","Alabama","010","Franklin","0590","Franklin",8495
"G0100630","1860","Alabama","010","Greene","0630","Greene",23598
"G0100670","1860","Alabama","010","Henry","0670","Henry",4433
"G0100710","1860","Alabama","010","Jackson","0710","Jackson",3405
"G0100730","1860","Alabama","010","Jefferson","0730","Jefferson",2649
"G0100770","1860","Alabama","010","Lauderdale","0770","Lauderdale",6737
"G0100790","1860","Alabama","010","Lawrence","0790","Lawrence",6788
"G0100830","1860","Alabama","010","Limestone","0830","Limestone",8085
"G0100850","1860","Alabama","010","Lowndes","0850","Lowndes",19340
"G0100870","1860","Alabama","010","Macon","0870","Macon",18176
"G0100890","1860","Alabama","010","Madison","0890","Madison",14573
"G0100910","1860","Alabama","010","Marengo","0910","Marengo",24409
"G0100930","1860","Alabama","010","Marion","0930","Marion",1283
"G0100950","1860","Alabama","010","Marshall","0950","Marshall",1821
"G0100970","1860","Alabama","010","Mobile","0970","Mobile",11376
"G0100990","1860","Alabama","010","Monroe","0990","Monroe",8705
"G0101010","1860","Alabama","010","Montgomery","1010","Montgomery",23710
"G0101030","1860","Alabama","010","Morgan","1030","Morgan",3706
"G0101050","1860","Alabama","010","Perry","1050","Perry",18206
"G0101070","1860","Alabama","010","Pickens","1070","Pickens",12191
"G0101090","1860","Alabama","010","Pike","1090","Pike",8785
"G0101110","1860","Alabama","010","Randolph","1110","Randolph",1904
"G0101130","1860","Alabama","010","Russell","1130","Russell",15638
"G0101150","1860","Alabama","010","St Clair","1150","St Clair",1768
"G0101170","1860","Alabama","010","Shelby","1170","Shelby",3622
"G0101190","1860","Alabama","010","Sumter","1190","Sumter",18091
"G0101210","1860","Alabama","010","Talladega","1210","Talladega",8865
"G0101230","1860","Alabama","010","Tallapoosa","1230","Tallapoosa",6672
"G0101250","1860","Alabama","010","Tuscaloosa","1250","Tuscaloosa",10145
"G0101270","1860","Alabama","010","Walker","1270","Walker",519
"G0101290","1860","Alabama","010","Washington","1290","Washington",2494
"G0101310","1860","Alabama","010","Wilcox","1310","Wilcox",17797
"G0101330","1860","Alabama","010","Winston","1330","Winston",122
"G0500010","1860","Arkansas","050","Arkansas","0010","Arkansas",4921
"G0500030","1860","Arkansas","050","Ashley","0030","Ashley",3761
"G0500070","1860","Arkansas","050","Benton","0070","Benton",384
"G0500110","1860","Arkansas","050","Bradley","0110","Bradley",2690
"G0500130","1860","Arkansas","050","Calhoun","0130","Calhoun",981
"G0500150","1860","Arkansas","050","Carroll","0150","Carroll",330
"G0500170","1860","Arkansas","050","Chicot","0170","Chicot",7512
"G0500190","1860","Arkansas","050","Clark","0190","Clark",2214
"G0500270","1860","Arkansas","050","Columbia","0270","Columbia",3599
"G0500290","1860","Arkansas","050","Conway","0290","Conway",802
"G0500310","1860","Arkansas","050","Craighead","0310","Craighead",87
"G0500330","1860","Arkansas","050","Crawford","0330","Crawford",858
"G0500350","1860","Arkansas","050","Crittenden","0350","Crittenden",2347
"G0500390","1860","Arkansas","050","Dallas","0390","Dallas",3494
"G0500410","1860","Arkansas","050","Desha","0410","Desha",3784
"G0500430","1860","Arkansas","050","Drew","0430","Drew",3497
"G0500470","1860","Arkansas","050","Franklin","0470","Franklin",962
"G0500490","1860","Arkansas","050","Fulton","0490","Fulton",88
"G0500550","1860","Arkansas","050","Greene","0550","Greene",189
"G0500570","1860","Arkansas","050","Hempstead","0570","Hempstead",5398
"G0500590","1860","Arkansas","050","Hot Spring","0590","Hot Spring",613
"G0500630","1860","Arkansas","050","Independence","0630","Independence",1337
"G0500650","1860","Arkansas","050","Izard","0650","Izard",382
"G0500670","1860","Arkansas","050","Jackson","0670","Jackson",2535
"G0500690","1860","Arkansas","050","Jefferson","0690","Jefferson",7146
"G0500710","1860","Arkansas","050","Johnson","0710","Johnson",973
"G0500730","1860","Arkansas","050","Lafayette","0730","Lafayette",4311
"G0500750","1860","Arkansas","050","Lawrence","0750","Lawrence",494
"G0500870","1860","Arkansas","050","Madison","0870","Madison",296
"G0500890","1860","Arkansas","050","Marion","0890","Marion",261
"G0500930","1860","Arkansas","050","Mississippi","0930","Mississippi",1461
"G0500950","1860","Arkansas","050","Monroe","0950","Monroe",2226
"G0500970","1860","Arkansas","050","Montgomery","0970","Montgomery",92
"G0501010","1860","Arkansas","050","Newton","1010","Newton",24
"G0501030","1860","Arkansas","050","Ouachita","1030","Ouachita",4478
"G0501050","1860","Arkansas","050","Perry","1050","Perry",303
"G0501070","1860","Arkansas","050","Phillips","1070","Phillips",8941
"G0501090","1860","Arkansas","050","Pike","1090","Pike",227
"G0501110","1860","Arkansas","050","Poinsett","1110","Poinsett",1086
"G0501130","1860","Arkansas","050","Polk","1130","Polk",172
"G0501150","1860","Arkansas","050","Pope","1150","Pope",978
"G0501170","1860","Arkansas","050","Prairie","1170","Prairie",2839
"G0501190","1860","Arkansas","050","Pulaski","1190","Pulaski",3505
"G0501210","1860","Arkansas","050","Randolph","1210","Randolph",359
"G0501230","1860","Arkansas","050","St Francis","1230","St Francis",2621
"G0501250","1860","Arkansas","050","Saline","1250","Saline",749
"G0501270","1860","Arkansas","050","Scott","1270","Scott",215
"G0501290","1860","Arkansas","050","Searcy","1290","Searcy",93
"G0501310","1860","Arkansas","050","Sebastian","1310","Sebastian",680
"G0501330","1860","Arkansas","050","Sevier","1330","Sevier",3366
"G0501390","1860","Arkansas","050","Union","1390","Union",6331
"G0501410","1860","Arkansas","050","Van Buren","1410","Van Buren",200
"G0501430","1860","Arkansas","050","Washington","1430","Washington",1493
"G0501450","1860","Arkansas","050","White","1450","White",1432
"G0501490","1860","Arkansas","050","Yell","1490","Yell",998
"G0600010","1860","California","060","Alameda","0010","Alameda",
"G0600050","1860","California","060","Amador","0050","Amador",
"G0600070","1860","California","060","Butte","0070","Butte",
"G0600090","1860","California","060","Calaveras","0090","Calaveras",
"G0600110","1860","California","060","Colusa","0110","Colusa",
"G0600130","1860","California","060","Contra Costa","0130","Contra Costa",
"G0600150","1860","California","060","Del Norte","0150","Del Norte",
"G0600170","1860","California","060","El Dorado","0170","El Dorado",
"G0600190","1860","California","060","Fresno","0190","Fresno",
"G0600230","1860","California","060","Humboldt","0230","Humboldt",
"G0600315","1860","California","060","Klamath","0315","Klamath",
"G0600370","1860","California","060","Los Angeles","0370","Los Angeles",
"G0600410","1860","California","060","Marin","0410","Marin",
"G0600430","1860","California","060","Mariposa","0430","Mariposa",
"G0600450","1860","California","060","Mendocino","0450","Mendocino",
"G0600470","1860","California","060","Merced","0470","Merced",
"G0600530","1860","California","060","Monterey","0530","Monterey",
"G0600550","1860","California","060","Napa","0550","Napa",
"G0600570","1860","California","060","Nevada","0570","Nevada",
"G0600610","1860","California","060","Placer","0610","Placer",
"G0600630","1860","California","060","Plumas","0630","Plumas",
"G0600670","1860","California","060","Sacramento","0670","Sacramento",
"G0600710","1860","California","060","San Bernardino","0710","San Bernardino",
"G0600730","1860","California","060","San Diego","0730","San Diego",
"G0600750","1860","California","060","San Francisco","0750","San Francisco",
"G0600770","1860","California","060","San Joaquin","0770","San Joaquin",
"G0600790","1860","California","060","San Luis Obispo","0790","San Luis Obispo",
"G0600810","1860","California","060","San Mateo","0810","San Mateo",
"G0600830","1860","California","060","Santa Barbara","0830","Santa Barbara",
"G0600850","1860","California","060","Santa Clara","0850","Santa Clara",
"G0600870","1860","California","060","Santa Cruz","0870","Santa Cruz",
"G0600890","1860","California","060","Shasta","0890","Shasta",
"G0600910","1860","California","060","Sierra","0910","Sierra",
"G0600930","1860","California","060","Siskiyou","0930","Siskiyou",
"G0600950","1860","California","060","Solano","0950","Solano",
"G0600970","1860","California","060","Sonoma","0970","Sonoma",
"G0600990","1860","California","060","Stanislaus","0990","Stanislaus",
"G0601010","1860","California","060","Sutter","1010","Sutter",
"G0601030","1860","California","060","Tehama","1030","Tehama",
"G0601050","1860","California","060","Trinity","1050","Trinity",
"G0601070","1860","California","060","Tulare","1070","Tulare",
"G0601090","1860","California","060","Tuolumne","1090","Tuolumne",
"G0601130","1860","California","060","Yolo","1130","Yolo",
