GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,ACU001,ACU002,ACU003,ACU004
GIS Join Match Code,Data File Year,State Name,State Code,County Name,County Code,Area name,Free >> Male,Free >> Female,Slave >> Male,Slave >> Female
"G0100010","1840","Alabama","010","Autauga","0010","Autauga",10,6,4023,4086
"G0100030","1840","Alabama","010","Baldwin","0030","Baldwin",50,33,930,777
"G0100050","1840","Alabama","010","Barbour","0050","Barbour",4,3,2706,2842
"G0100055","1840","Alabama","010","Benton","0055","Benton",5,1,1413,1481
"G0100070","1840","Alabama","010","Bibb","0070","Bibb",2,3,991,1032
"G0100090","1840","Alabama","010","Blount","0090","Blount",1,0,152,192
"G0100130","1840","Alabama","010","Butler","0130","Butler",13,10,1201,1269
"G0100170","1840","Alabama","010","Chambers","0170","Chambers",4,0,3557,3584
"G0100190","1840","Alabama","010","Cherokee","0190","Cherokee",2,7,512,600
"G0100250","1840","Alabama","010","Clarke","0250","Clarke",12,5,2247,2148
"G0100350","1840","Alabama","010","Conecuh","0350","Conecuh",3,1,1906,1911
"G0100370","1840","Alabama","010","Coosa","0370","Coosa",7,5,1045,1080
"G0100390","1840","Alabama","010","Covington","0390","Covington",3,6,198,173
"G0100450","1840","Alabama","010","Dale","0450","Dale",4,4,266,314
"G0100470","1840","Alabama","010","Dallas","0470","Dallas",37,32,8590,8618
"G0100490","1840","Alabama","010","DeKalb","0490","Dekalb",0,0,167,173
"G0100570","1840","Alabama","010","Fayette","0570","Fayette",0,0,483,498
"G0100590","1840","Alabama","010","Franklin","0590","Franklin",18,11,3017,2988
"G0100630","1840","Alabama","010","Greene","0630","Greene",22,15,8523,7908
"G0100670","1840","Alabama","010","Henry","0670","Henry",1,1,537,547
"G0100710","1840","Alabama","010","Jackson","0710","Jackson",17,19,865,951
"G0100730","1840","Alabama","010","Jefferson","0730","Jefferson",4,5,776,860
"G0100770","1840","Alabama","010","Lauderdale","0770","Lauderdale",38,31,2498,2471
"G0100790","1840","Alabama","010","Lawrence","0790","Lawrence",9,16,3033,3112
"G0100830","1840","Alabama","010","Limestone","0830","Limestone",20,16,3466,3374
"G0100850","1840","Alabama","010","Lowndes","0850","Lowndes",9,5,6251,6318
"G0100870","1840","Alabama","010","Macon","0870","Macon",11,16,2918,2933
"G0100890","1840","Alabama","010","Madison","0890","Madison",74,70,6713,6552
"G0100910","1840","Alabama","010","Marengo","0910","Marengo",10,2,6141,5761
"G0100930","1840","Alabama","010","Marion","0930","Marion",0,0,371,382
"G0100950","1840","Alabama","010","Marshall","0950","Marshall",17,7,397,444
"G0100970","1840","Alabama","010","Mobile","0970","Mobile",368,419,3105,3086
"G0100990","1840","Alabama","010","Monroe","0990","Monroe",8,10,2563,2729
"G0101010","1840","Alabama","010","Montgomery","1010","Montgomery",59,57,7715,7771
"G0101030","1840","Alabama","010","Morgan","1030","Morgan",25,20,1576,1640
"G0101050","1840","Alabama","010","Perry","1050","Perry",14,8,5310,5033
"G0101070","1840","Alabama","010","Pickens","1070","Pickens",3,4,3847,3917
"G0101090","1840","Alabama","010","Pike","1090","Pike",7,3,1026,1085
"G0101110","1840","Alabama","010","Randolph","1110","Randolph",1,0,290,236
"G0101130","1840","Alabama","010","Russell","1130","Russell",1,2,3776,3490
"G0101150","1840","Alabama","010","St Clair","1150","St Clair",5,3,568,557
"G0101170","1840","Alabama","010","Shelby","1170","Shelby",1,1,822,794
"G0101190","1840","Alabama","010","Sumter","1190","Sumter",59,57,8149,7771
"G0101210","1840","Alabama","010","Talladega","1210","Talladega",11,15,2479,2419
"G0101230","1840","Alabama","010","Tallapoosa","1230","Tallapoosa",3,4,943,1070
"G0101250","1840","Alabama","010","Tuscaloosa","1250","Tuscaloosa",38,48,3268,3286
"G0101270","1840","Alabama","010","Walker","1270","Walker",1,0,117,94
"G0101290","1840","Alabama","010","Washington","1290","Washington",8,15,1239,1195
"G0101310","1840","Alabama","010","Wilcox","1310","Wilcox",11,13,4674,4620
"G0500010","1840","Arkansas","050","Arkansas","0010","Arkansas",3,2,174,187
"G0500070","1840","Arkansas","050","Benton","0070","Benton",2,8,79,89
"G0500150","1840","Arkansas","050","Carroll","0150","Carroll",0,0,61,76
"G0500170","1840","Arkansas","050","Chicot","0170","Chicot",3,0,1430,1268
"G0500190","1840","Arkansas","050","Clark","0190","Clark",0,0,338,349
"G0500290","1840","Arkansas","050","Conway","0290","Conway",4,1,92,100
"G0500330","1840","Arkansas","050","Crawford","0330","Crawford",21,13,293,325
"G0500350","1840","Arkansas","050","Crittenden","0350","Crittenden",5,6,227,227
"G0500410","1840","Arkansas","050","Desha","0410","Desha",15,21,211,196
"G0500470","1840","Arkansas","050","Franklin","0470","Franklin",3,5,191,209
"G0500550","1840","Arkansas","050","Greene","0550","Greene",0,0,26,24
"G0500570","1840","Arkansas","050","Hempstead","0570","Hempstead",35,27,989,947
"G0500590","1840","Arkansas","050","Hot Spring","0590","Hot Spring",2,1,114,135
"G0500630","1840","Arkansas","050","Independence","0630","Independence",8,1,257,257
"G0500650","1840","Arkansas","050","Izard","0650","Izard",0,0,69,72
"G0500670","1840","Arkansas","050","Jackson","0670","Jackson",4,2,152,124
"G0500690","1840","Arkansas","050","Jefferson","0690","Jefferson",2,3,514,496
"G0500710","1840","Arkansas","050","Johnson","0710","Johnson",1,2,286,305
"G0500730","1840","Arkansas","050","Lafayette","0730","Lafayette",1,0,861,783
"G0500750","1840","Arkansas","050","Lawrence","0750","Lawrence",3,3,124,143
"G0500870","1840","Arkansas","050","Madison","0870","Madison",0,0,35,48
"G0500890","1840","Arkansas","050","Marion","0890","Marion",37,28,18,21
"G0500930","1840","Arkansas","050","Mississippi","0930","Mississippi",0,0,276,234
"G0500950","1840","Arkansas","050","Monroe","0950","Monroe",1,1,76,72
"G0501070","1840","Arkansas","050","Phillips","1070","Phillips",10,7,480,425
"G0501090","1840","Arkansas","050","Pike","1090","Pike",0,0,61,48
"G0501110","1840","Arkansas","050","Poinsett","1110","Poinsett",0,0,34,33
"G0501150","1840","Arkansas","050","Pope","1150","Pope",6,3,109,106
"G0501190","1840","Arkansas","050","Pulaski","1190","Pulaski",53,52,675,609
"G0501210","1840","Arkansas","050","Randolph","1210","Randolph",2,5,114,102
"G0501230","1840","Arkansas","050","St Francis","1230","St Francis",2,0,181,184
"G0501250","1840","Arkansas","050","Saline","1250","Saline",0,0,221,178
"G0501270","1840","Arkansas","050","Scott","1270","Scott",12,9,60,71
"G0501290","1840","Arkansas","050","Searcy","1290","Searcy",0,0,0,3
"G0501330","1840","Arkansas","050","Sevier","1330","Sevier",4,5,356,369
"G0501390","1840","Arkansas","050","Union","1390","Union",1,1,438,468
"G0501410","1840","Arkansas","050","Van Buren","1410","Van Buren",0,0,27,32
